v1	V(vo1)	V(vo2)
-3.500000000000128e+000	-7.000412e+000	-3.245842e-004
-3.480000000000127e+000	-6.960413e+000	-3.230863e-004
-3.460000000000127e+000	-6.920413e+000	-3.215881e-004
-3.440000000000127e+000	-6.880414e+000	-3.200894e-004
-3.420000000000127e+000	-6.840414e+000	-3.185902e-004
-3.400000000000127e+000	-6.800415e+000	-3.170906e-004
-3.380000000000127e+000	-6.760415e+000	-3.155905e-004
-3.360000000000127e+000	-6.720415e+000	-3.140899e-004
-3.340000000000127e+000	-6.680416e+000	-3.125887e-004
-3.320000000000127e+000	-6.640416e+000	-3.110870e-004
-3.300000000000127e+000	-6.600416e+000	-3.095847e-004
-3.280000000000127e+000	-6.560417e+000	-3.080817e-004
-3.260000000000127e+000	-6.520417e+000	-3.065781e-004
-3.240000000000127e+000	-6.480417e+000	-3.050739e-004
-3.220000000000127e+000	-6.440418e+000	-3.035689e-004
-3.200000000000127e+000	-6.400418e+000	-3.020633e-004
-3.180000000000127e+000	-6.360419e+000	-3.005569e-004
-3.160000000000127e+000	-6.320419e+000	-2.990497e-004
-3.140000000000127e+000	-6.280419e+000	-2.975417e-004
-3.120000000000127e+000	-6.240420e+000	-2.960329e-004
-3.100000000000127e+000	-6.200420e+000	-2.945232e-004
-3.080000000000127e+000	-6.160420e+000	-2.930126e-004
-3.060000000000127e+000	-6.120421e+000	-2.915011e-004
-3.040000000000127e+000	-6.080421e+000	-2.899886e-004
-3.020000000000127e+000	-6.040421e+000	-2.884752e-004
-3.000000000000127e+000	-6.000422e+000	-2.869608e-004
-2.980000000000127e+000	-5.960423e+000	-2.854453e-004
-2.960000000000127e+000	-5.920423e+000	-2.839287e-004
-2.940000000000127e+000	-5.880423e+000	-2.824110e-004
-2.920000000000127e+000	-5.840424e+000	-2.808922e-004
-2.900000000000127e+000	-5.800424e+000	-2.793721e-004
-2.880000000000127e+000	-5.760425e+000	-2.778509e-004
-2.860000000000127e+000	-5.720425e+000	-2.763284e-004
-2.840000000000127e+000	-5.680425e+000	-2.748046e-004
-2.820000000000127e+000	-5.640426e+000	-2.732795e-004
-2.800000000000127e+000	-5.600426e+000	-2.717529e-004
-2.780000000000127e+000	-5.560426e+000	-2.702250e-004
-2.760000000000127e+000	-5.520427e+000	-2.686957e-004
-2.740000000000127e+000	-5.480427e+000	-2.671648e-004
-2.720000000000127e+000	-5.440428e+000	-2.656324e-004
-2.700000000000127e+000	-5.400428e+000	-2.640984e-004
-2.680000000000127e+000	-5.360428e+000	-2.625628e-004
-2.660000000000127e+000	-5.320429e+000	-2.610255e-004
-2.640000000000127e+000	-5.280429e+000	-2.594866e-004
-2.620000000000127e+000	-5.240430e+000	-2.579458e-004
-2.600000000000127e+000	-5.200430e+000	-2.564032e-004
-2.580000000000127e+000	-5.160430e+000	-2.548588e-004
-2.560000000000127e+000	-5.120431e+000	-2.533124e-004
-2.540000000000127e+000	-5.080431e+000	-2.517641e-004
-2.520000000000127e+000	-5.040432e+000	-2.502138e-004
-2.500000000000127e+000	-5.000432e+000	-2.486614e-004
-2.480000000000127e+000	-4.960433e+000	-2.471069e-004
-2.460000000000127e+000	-4.920433e+000	-2.455502e-004
-2.440000000000127e+000	-4.880434e+000	-2.439912e-004
-2.420000000000127e+000	-4.840434e+000	-2.424299e-004
-2.400000000000127e+000	-4.800435e+000	-2.408663e-004
-2.380000000000127e+000	-4.760435e+000	-2.393002e-004
-2.360000000000126e+000	-4.720436e+000	-2.377316e-004
-2.340000000000126e+000	-4.680436e+000	-2.361605e-004
-2.320000000000126e+000	-4.640436e+000	-2.345867e-004
-2.300000000000126e+000	-4.600437e+000	-2.330103e-004
-2.280000000000126e+000	-4.560437e+000	-2.314310e-004
-2.260000000000126e+000	-4.520438e+000	-2.298490e-004
-2.240000000000126e+000	-4.480438e+000	-2.282639e-004
-2.220000000000126e+000	-4.440439e+000	-2.266759e-004
-2.200000000000126e+000	-4.400439e+000	-2.250848e-004
-2.180000000000126e+000	-4.360440e+000	-2.234906e-004
-2.160000000000126e+000	-4.320440e+000	-2.218931e-004
-2.140000000000126e+000	-4.280440e+000	-2.202922e-004
-2.120000000000126e+000	-4.240441e+000	-2.186879e-004
-2.100000000000126e+000	-4.200441e+000	-2.170801e-004
-2.080000000000126e+000	-4.160442e+000	-2.154687e-004
-2.060000000000126e+000	-4.120442e+000	-2.138536e-004
-2.040000000000126e+000	-4.080443e+000	-2.122346e-004
-2.020000000000126e+000	-4.040443e+000	-2.106118e-004
-2.000000000000126e+000	-4.000444e+000	-2.089849e-004
-1.980000000000126e+000	-3.960444e+000	-2.073539e-004
-1.960000000000126e+000	-3.920445e+000	-2.057186e-004
-1.940000000000126e+000	-3.880445e+000	-2.040790e-004
-1.920000000000126e+000	-3.840446e+000	-2.024348e-004
-1.900000000000126e+000	-3.800447e+000	-2.007861e-004
-1.880000000000126e+000	-3.760447e+000	-1.991326e-004
-1.860000000000126e+000	-3.720448e+000	-1.974743e-004
-1.840000000000126e+000	-3.680448e+000	-1.958109e-004
-1.820000000000126e+000	-3.640449e+000	-1.941424e-004
-1.800000000000126e+000	-3.600449e+000	-1.924685e-004
-1.780000000000126e+000	-3.560450e+000	-1.907893e-004
-1.760000000000126e+000	-3.520450e+000	-1.891044e-004
-1.740000000000126e+000	-3.480451e+000	-1.874137e-004
-1.720000000000126e+000	-3.440451e+000	-1.857171e-004
-1.700000000000126e+000	-3.400452e+000	-1.840144e-004
-1.680000000000126e+000	-3.360453e+000	-1.823053e-004
-1.660000000000126e+000	-3.320453e+000	-1.805898e-004
-1.640000000000126e+000	-3.280454e+000	-1.788676e-004
-1.620000000000126e+000	-3.240454e+000	-1.771386e-004
-1.600000000000126e+000	-3.200455e+000	-1.754024e-004
-1.580000000000126e+000	-3.160455e+000	-1.736590e-004
-1.560000000000126e+000	-3.120456e+000	-1.719080e-004
-1.540000000000126e+000	-3.080457e+000	-1.701492e-004
-1.520000000000126e+000	-3.040457e+000	-1.683825e-004
-1.500000000000126e+000	-3.000458e+000	-1.666075e-004
-1.480000000000126e+000	-2.960459e+000	-1.648239e-004
-1.460000000000126e+000	-2.920459e+000	-1.630316e-004
-1.440000000000126e+000	-2.880460e+000	-1.612302e-004
-1.420000000000126e+000	-2.840461e+000	-1.594194e-004
-1.400000000000126e+000	-2.800461e+000	-1.575990e-004
-1.380000000000126e+000	-2.760462e+000	-1.557685e-004
-1.360000000000126e+000	-2.720463e+000	-1.539277e-004
-1.340000000000126e+000	-2.680463e+000	-1.520762e-004
-1.320000000000126e+000	-2.640464e+000	-1.502136e-004
-1.300000000000126e+000	-2.600465e+000	-1.483396e-004
-1.280000000000126e+000	-2.560465e+000	-1.464537e-004
-1.260000000000126e+000	-2.520466e+000	-1.445556e-004
-1.240000000000125e+000	-2.480467e+000	-1.426448e-004
-1.220000000000125e+000	-2.440468e+000	-1.407208e-004
-1.200000000000125e+000	-2.400468e+000	-1.387831e-004
