time	V(vin)	V(vout)	V(n002)
1.464737701435019e-003	2.197513e+000	8.602358e+000	3.097088e+000
1.466429193304328e-003	2.093709e+000	8.924748e+000	3.150645e+000
1.470474979530527e-003	1.844160e+000	8.933325e+000	3.151865e+000
1.474520765756726e-003	1.593800e+000	8.939911e+000	3.152754e+000
1.478566551982926e-003	1.342628e+000	8.944507e+000	3.153311e+000
1.482612338209125e-003	1.090644e+000	8.947114e+000	3.153536e+000
1.486658124435324e-003	8.378497e-001	8.947730e+000	3.153429e+000
1.490703910661523e-003	5.842437e-001	8.946356e+000	3.152991e+000
1.494749696887722e-003	3.298264e-001	8.942992e+000	3.152220e+000
1.504515321887722e-003	-2.836680e-001	8.943153e+000	3.151739e+000
1.509398134387722e-003	-5.901591e-001	8.943235e+000	3.151499e+000
1.514280946887722e-003	-8.960947e-001	8.942903e+000	3.151196e+000
1.519163759387722e-003	-1.201187e+000	8.940915e+000	3.150653e+000
1.522848003899901e-003	-1.430657e+000	8.934329e+000	3.149456e+000
1.526841312381684e-003	-1.678506e+000	8.923768e+000	3.147640e+000
1.530387464116660e-003	-1.897721e+000	8.908814e+000	3.145117e+000
1.539200013570273e-003	-2.438182e+000	8.832122e+000	3.132288e+000
1.543279769810636e-003	-2.685956e+000	8.660347e+000	3.103679e+000
1.547650816066832e-003	-2.949459e+000	8.237558e+000	3.033304e+000
1.551948964499321e-003	-3.206399e+000	7.478958e+000	2.907055e+000
1.555721011947874e-003	-3.429969e+000	6.377637e+000	2.723785e+000
1.559345844365536e-003	-3.642999e+000	4.797996e+000	2.460929e+000
1.562486404512846e-003	-3.826045e+000	2.888634e+000	2.143214e+000
1.565549979341332e-003	-4.003169e+000	6.085439e-001	1.763814e+000
1.566277816158220e-003	-4.045034e+000	6.196176e-002	1.672865e+000
1.566314358928640e-003	-4.047134e+000	4.283429e-002	1.669682e+000
1.566387444469480e-003	-4.051333e+000	2.453910e-002	1.666637e+000
1.566533615551159e-003	-4.059728e+000	9.081406e-003	1.664064e+000
1.566786582828523e-003	-4.074248e+000	3.453900e-003	1.663127e+000
1.567052439916597e-003	-4.089498e+000	2.770262e-003	1.663012e+000
1.568521375394086e-003	-4.173548e+000	-2.328447e-004	1.662504e+000
1.570479956030737e-003	-4.285060e+000	-4.071235e-003	1.661855e+000
1.574397117304039e-003	-4.506121e+000	-1.125921e-002	1.660639e+000
1.579279929804039e-003	-4.777841e+000	-1.947448e-002	1.659248e+000
1.584162742304039e-003	-5.045063e+000	-2.691985e-002	1.657985e+000
1.589045554804039e-003	-5.307538e+000	-3.365721e-002	1.656841e+000
1.593928367304039e-003	-5.565017e+000	-3.979035e-002	1.655798e+000
1.598811179804039e-003	-5.817259e+000	-4.539377e-002	1.654844e+000
1.603693992304039e-003	-6.064026e+000	-5.053429e-002	1.653967e+000
1.608576804804039e-003	-6.305085e+000	-5.526410e-002	1.653160e+000
1.613459617304038e-003	-6.540210e+000	-5.962867e-002	1.652413e+000
1.618342429804038e-003	-6.769180e+000	-6.366511e-002	1.651722e+000
1.623225242304038e-003	-6.991779e+000	-6.740532e-002	1.651081e+000
1.628108054804038e-003	-7.207798e+000	-7.087627e-002	1.650485e+000
1.632990867304038e-003	-7.417033e+000	-7.410093e-002	1.649931e+000
1.642756492304038e-003	-7.814370e+000	-7.988849e-002	1.648934e+000
1.657404929804038e-003	-8.354793e+000	-8.714107e-002	1.647682e+000
1.672053367304037e-003	-8.824491e+000	-9.294780e-002	1.646677e+000
1.686701804804037e-003	-9.219487e+000	-9.750533e-002	1.645886e+000
1.701350242304037e-003	-9.536439e+000	-1.009987e-001	1.645278e+000
1.711115867304036e-003	-9.703030e+000	-1.027797e-001	1.644968e+000
1.720881492304036e-003	-9.833100e+000	-1.041445e-001	1.644730e+000
1.730647117304036e-003	-9.926161e+000	-1.051089e-001	1.644562e+000
1.740412742304036e-003	-9.981862e+000	-1.056839e-001	1.644462e+000
1.750178367304036e-003	-9.999993e+000	-1.058757e-001	1.644428e+000
1.759943992304035e-003	-9.980488e+000	-1.056865e-001	1.644462e+000
1.769709617304035e-003	-9.923417e+000	-1.051143e-001	1.644561e+000
1.779475242304035e-003	-9.828998e+000	-1.041525e-001	1.644729e+000
1.789240867304035e-003	-9.697583e+000	-1.027905e-001	1.644967e+000
1.799006492304035e-003	-9.529670e+000	-1.010124e-001	1.645276e+000
1.813654929804034e-003	-9.210782e+000	-9.752235e-002	1.645884e+000
1.828303367304034e-003	-8.813924e+000	-9.296768e-002	1.646674e+000
1.842951804804034e-003	-8.342455e+000	-8.716611e-002	1.647679e+000
1.857600242304033e-003	-7.800364e+000	-7.991999e-002	1.648930e+000
1.867365867304033e-003	-7.401980e+000	-7.413766e-002	1.649926e+000
1.872248679804033e-003	-7.192243e+000	-7.091591e-002	1.650479e+000
1.877131492304033e-003	-6.975737e+000	-6.744841e-002	1.651075e+000
1.882014304804033e-003	-6.752665e+000	-6.371191e-002	1.651715e+000
1.886897117304033e-003	-6.523238e+000	-5.967986e-002	1.652406e+000
