time	V(vin)	V(vout)	V(n002)
1.159828335853323e-003	8.437495e+000	-8.891004e+000	1.849386e-001
1.180336148353323e-003	9.057243e+000	-8.891015e+000	1.849403e-001
1.200843960853323e-003	9.526818e+000	-8.891019e+000	1.849369e-001
1.221351773353322e-003	9.838433e+000	-8.891021e+000	1.849387e-001
1.241859585853322e-003	9.986922e+000	-8.891022e+000	1.849368e-001
1.262367398353322e-003	9.969824e+000	-8.891024e+000	1.849379e-001
1.282875210853321e-003	9.787420e+000	-8.891024e+000	1.849369e-001
1.303383023353321e-003	9.442737e+000	-8.891024e+000	1.849375e-001
1.323890835853321e-003	8.941487e+000	-8.891024e+000	1.849372e-001
1.344398648353320e-003	8.291985e+000	-8.891024e+000	1.849374e-001
1.364906460853320e-003	7.504996e+000	-8.891024e+000	1.849374e-001
1.385414273353320e-003	6.593571e+000	-8.891023e+000	1.849373e-001
1.405922085853320e-003	5.572822e+000	-8.891023e+000	1.849377e-001
1.426429898353319e-003	4.459672e+000	-8.891022e+000	1.849374e-001
1.446937710853319e-003	3.272579e+000	-8.891022e+000	1.849380e-001
1.467445523353319e-003	2.031224e+000	-8.891020e+000	1.849376e-001
1.470655931112604e-003	1.833040e+000	-8.891135e+000	1.849196e-001
1.473866338871889e-003	1.634336e+000	-8.891195e+000	1.849102e-001
1.477076746631174e-003	1.435112e+000	-8.891200e+000	1.849095e-001
1.480287154390459e-003	1.235369e+000	-8.891150e+000	1.849173e-001
1.483497562149744e-003	1.035107e+000	-8.891046e+000	1.849337e-001
1.486707969909030e-003	8.343249e-001	-8.890886e+000	1.849587e-001
1.489918377668315e-003	6.330235e-001	-8.890672e+000	1.849923e-001
1.490808528438784e-003	5.771962e-001	-8.890089e+000	1.850813e-001
1.491151935107299e-003	5.556540e-001	-8.888774e+000	1.853009e-001
1.491337496263819e-003	5.440125e-001	-8.887453e+000	1.855233e-001
1.492050316177848e-003	4.992857e-001	-8.882583e+000	1.862152e-001
1.492863522454193e-003	4.482479e-001	-8.871732e+000	1.877225e-001
