time	V(vin)	V(vo1)	V(vout)
1.163084415426118e-003	8.550850e-001	1.446174e+000	8.543576e-001
1.180655843997545e-003	9.058467e-001	1.498630e+000	9.051649e-001
1.198227272568972e-003	9.460108e-001	1.540061e+000	9.453773e-001
1.215798701140399e-003	9.755772e-001	1.570468e+000	9.749949e-001
1.233370129711826e-003	9.945461e-001	1.589851e+000	9.940177e-001
1.253512986854681e-003	9.983678e-001	1.593979e+000	9.979024e-001
1.273655843997537e-003	9.873611e-001	1.582785e+000	9.869558e-001
1.293798701140392e-003	9.615258e-001	1.556269e+000	9.611779e-001
1.313941558283248e-003	9.208621e-001	1.514430e+000	9.205687e-001
1.334084415426103e-003	8.653698e-001	1.457268e+000	8.651283e-001
1.354227272568959e-003	7.950490e-001	1.384784e+000	7.948565e-001
1.374370129711814e-003	7.098997e-001	1.296978e+000	7.097535e-001
1.385941558283242e-003	6.560561e-001	1.241485e+000	6.559335e-001
1.397512986854669e-003	5.995345e-001	1.182715e+000	5.994322e-001
1.409084415426097e-003	5.403349e-001	1.120666e+000	5.402497e-001
1.420655843997525e-003	4.784574e-001	1.055339e+000	4.783859e-001
1.432227272568952e-003	4.139020e-001	9.867343e-001	4.138408e-001
1.443798701140380e-003	3.466685e-001	9.148511e-001	3.466145e-001
1.455370129711807e-003	2.767571e-001	8.396898e-001	2.767069e-001
1.460084415426093e-003	2.481124e-001	8.088930e-001	2.480658e-001
1.464798701140378e-003	2.193135e-001	7.770315e-001	2.192653e-001
1.469512986854663e-003	1.903606e-001	7.441054e-001	1.903053e-001
1.474227272568948e-003	1.612535e-001	7.101147e-001	1.611859e-001
1.478941558283234e-003	1.319923e-001	6.750593e-001	1.319071e-001
1.483655843997519e-003	1.025770e-001	6.389394e-001	1.024688e-001
1.488370129711804e-003	7.300762e-002	6.017548e-001	7.287113e-002
1.489370129711804e-003	6.673918e-002	5.934145e-001	6.659497e-002
1.490370129711804e-003	6.046873e-002	5.846629e-001	6.031079e-002
1.491370129711804e-003	5.419626e-002	5.755002e-001	5.401860e-002
1.492370129711804e-003	4.792177e-002	5.659263e-001	4.771840e-002
1.493370129711804e-003	4.164527e-002	5.559412e-001	4.141017e-002
1.494370129711804e-003	3.536676e-002	5.455449e-001	3.509393e-002
1.495370129711804e-003	2.908623e-002	5.347375e-001	2.876968e-002
1.496370129711804e-003	2.280517e-002	5.225668e-001	2.241582e-002
1.497370129711804e-003	1.652321e-002	5.087371e-001	1.601842e-002
1.498370129711804e-003	1.024060e-002	4.920658e-001	9.533399e-003
1.499370129711804e-003	3.957581e-003	4.699550e-001	2.853602e-003
1.500370129711803e-003	-2.325591e-003	4.366696e-001	-4.255990e-003
1.501370129711803e-003	-8.608673e-003	3.824906e-001	-1.205003e-002
1.502370129711803e-003	-1.489141e-002	2.968933e-001	-2.048374e-002
1.503370129711803e-003	-2.117357e-002	1.734136e-001	-2.921886e-002
1.504370129711803e-003	-2.745488e-002	1.046632e-002	-3.800632e-002
1.505370129711803e-003	-3.373512e-002	-1.911037e-001	-4.674253e-002
1.506370129711803e-003	-4.001402e-002	-4.146416e-001	-4.866658e-002
1.507095016857059e-003	-4.456454e-002	-5.522649e-001	-2.927095e-002
1.507758250990206e-003	-4.872723e-002	-6.240014e-001	9.770178e-003
1.508228491940848e-003	-5.167811e-002	-6.437839e-001	3.467244e-002
1.508605136502927e-003	-5.404133e-002	-6.512458e-001	4.335972e-002
1.509014617753513e-003	-5.661023e-002	-6.584045e-001	4.703888e-002
1.509618450198147e-003	-6.039773e-002	-6.679870e-001	5.176273e-002
1.512038075943133e-003	-7.556536e-002	-7.044438e-001	6.721887e-002
1.513609504514561e-003	-8.540926e-002	-7.273519e-001	7.716830e-002
1.515180933085990e-003	-9.524244e-002	-7.499026e-001	8.694381e-002
1.516752361657418e-003	-1.050649e-001	-7.720960e-001	9.654540e-002
1.518323790228847e-003	-1.148766e-001	-7.939322e-001	1.059731e-001
1.519895218800275e-003	-1.246776e-001	-8.154110e-001	1.152268e-001
1.521466647371704e-003	-1.344679e-001	-8.365325e-001	1.243067e-001
1.523038075943132e-003	-1.442475e-001	-8.572968e-001	1.332126e-001
1.524038075943132e-003	-1.504621e-001	-8.700572e-001	1.382069e-001
1.525038075943132e-003	-1.566707e-001	-8.822515e-001	1.424204e-001
1.526038075943132e-003	-1.628732e-001	-8.935117e-001	1.452664e-001
1.527038075943132e-003	-1.690692e-001	-9.034501e-001	1.460303e-001
1.528038075943132e-003	-1.752586e-001	-9.119549e-001	1.443182e-001
1.529038075943132e-003	-1.814410e-001	-9.192845e-001	1.403901e-001
1.530038075943131e-003	-1.876163e-001	-9.258183e-001	1.348938e-001
1.532038075943131e-003	-1.999444e-001	-9.375223e-001	1.212495e-001
1.535038075943131e-003	-2.183767e-001	-9.534101e-001	9.767170e-002
1.535754392363119e-003	-2.227666e-001	-9.574817e-001	9.204334e-002
1.536096936677145e-003	-2.248643e-001	-9.617513e-001	9.020887e-002
1.536247173471806e-003	-2.257840e-001	-9.676481e-001	9.110816e-002
1.536357699693833e-003	-2.264604e-001	-9.762513e-001	9.476391e-002
1.536472657187485e-003	-2.271639e-001	-9.878694e-001	1.029638e-001
1.536594572559544e-003	-2.279098e-001	-1.000244e+000	1.161355e-001
1.536744399193443e-003	-2.288263e-001	-1.013337e+000	1.355924e-001
1.536906984123108e-003	-2.298207e-001	-1.024172e+000	1.564058e-001
1.537146853013859e-003	-2.312872e-001	-1.035251e+000	1.815213e-001
1.537463093567672e-003	-2.332199e-001	-1.044874e+000	2.035591e-001
1.537900730493430e-003	-2.358929e-001	-1.053832e+000	2.203258e-001
1.538305531488497e-003	-2.383638e-001	-1.060167e+000	2.279691e-001
1.538826295495757e-003	-2.415403e-001	-1.067278e+000	2.330574e-001
1.545071056681410e-003	-2.795608e-001	-1.147169e+000	2.717559e-001
1.551315817867064e-003	-3.170094e-001	-1.225565e+000	3.097681e-001
1.557560579052717e-003	-3.538862e-001	-1.302467e+000	3.470941e-001
1.563805340238370e-003	-3.901912e-001	-1.377874e+000	3.837338e-001
1.570050101424024e-003	-4.259243e-001	-1.451786e+000	4.196873e-001
1.576294862609677e-003	-4.610855e-001	-1.524203e+000	4.549545e-001
1.582539623795330e-003	-4.956749e-001	-1.595126e+000	4.895354e-001
1.597253909509615e-003	-5.751055e-001	-1.757711e+000	5.693565e-001
1.611968195223899e-003	-6.482222e-001	-1.907252e+000	6.429011e-001
1.626682480938184e-003	-7.150249e-001	-2.043752e+000	7.101690e-001
1.641396766652468e-003	-7.755136e-001	-2.167208e+000	7.711602e-001
1.656111052366753e-003	-8.296883e-001	-2.277622e+000	8.258748e-001
1.670825338081037e-003	-8.775491e-001	-2.374994e+000	8.743128e-001
1.685539623795322e-003	-9.190959e-001	-2.459323e+000	9.164740e-001
1.710682480938177e-003	-9.689034e-001	-2.560830e+000	9.674676e-001
1.735825338081032e-003	-9.947377e-001	-2.613676e+000	9.944631e-001
1.760968195223887e-003	-9.965987e-001	-2.617862e+000	9.974607e-001
1.786111052366742e-003	-9.744866e-001	-2.573387e+000	9.764602e-001
1.811253909509597e-003	-9.284013e-001	-2.480252e+000	9.314618e-001
1.836396766652452e-003	-8.583428e-001	-2.338456e+000	8.624654e-001
1.861539623795307e-003	-7.643110e-001	-2.148000e+000	7.694710e-001
1.873682480938163e-003	-7.120480e-001	-2.042087e+000	7.176164e-001
1.885825338081019e-003	-6.565064e-001	-1.929098e+000	6.624716e-001
1.897968195223875e-003	-5.976863e-001	-1.809034e+000	6.040365e-001
1.910111052366731e-003	-5.355877e-001	-1.681894e+000	5.423112e-001
1.922253909509588e-003	-4.702105e-001	-1.547678e+000	4.772956e-001
1.934396766652444e-003	-4.015547e-001	-1.406387e+000	4.089898e-001
1.946539623795300e-003	-3.296204e-001	-1.258020e+000	3.373938e-001
1.949968195223871e-003	-3.091830e-001	-1.215508e+000	3.168847e-001
1.953396766652443e-003	-2.886261e-001	-1.172673e+000	2.964175e-001
1.956825338081015e-003	-2.679497e-001	-1.129514e+000	2.759923e-001
1.960253909509587e-003	-2.471539e-001	-1.086030e+000	2.556090e-001
1.963682480938158e-003	-2.262387e-001	-1.042223e+000	2.352676e-001
1.967111052366730e-003	-2.052039e-001	-9.980911e-001	2.149682e-001
1.970539623795301e-003	-1.840497e-001	-9.536353e-001	1.947107e-001
1.972539623795302e-003	-1.716838e-001	-9.288395e-001	1.849287e-001
1.973539623795302e-003	-1.654906e-001	-9.177389e-001	1.819473e-001
1.974250108300390e-003	-1.610864e-001	-9.111478e-001	1.817825e-001
1.974934841234654e-003	-1.568388e-001	-9.062610e-001	1.841106e-001
1.976063046468237e-003	-1.498339e-001	-9.000293e-001	1.919607e-001
1.982559203612619e-003	-1.093646e-001	-8.668439e-001	2.477024e-001
1.982935431216117e-003	-1.070145e-001	-8.626661e-001	2.490484e-001
1.983317259249906e-003	-1.046289e-001	-8.453988e-001	2.428438e-001
1.983568603552167e-003	-1.030582e-001	-8.175094e-001	2.240312e-001
1.983740603683518e-003	-1.019832e-001	-7.965207e-001	1.981331e-001
1.983922252635716e-003	-1.008477e-001	-7.829151e-001	1.664917e-001
1.984065550206024e-003	-9.995192e-002	-7.764602e-001	1.467330e-001
1.984221323777290e-003	-9.897802e-002	-7.715861e-001	1.327710e-001
1.984497423522584e-003	-9.725161e-002	-7.653379e-001	1.180707e-001
1.984798366843248e-003	-9.536951e-002	-7.598888e-001	1.096244e-001
1.985280149537653e-003	-9.235575e-002	-7.523839e-001	1.031784e-001
1.985919457551013e-003	-8.835530e-002	-7.430006e-001	9.799314e-002
1.987484815300492e-003	-7.855184e-002	-7.210338e-001	8.793891e-002
1.989050173049971e-003	-6.874315e-002	-6.981793e-001	7.799626e-002
1.990615530799449e-003	-5.892925e-002	-6.744370e-001	6.816519e-002
1.992180888548928e-003	-4.911011e-002	-6.498070e-001	5.844571e-002
1.993746246298406e-003	-3.928576e-002	-6.242892e-001	4.883781e-002
1.995311604047885e-003	-2.945618e-002	-5.978837e-001	3.934150e-002
1.996876961797364e-003	-1.962137e-002	-5.705904e-001	2.995677e-002
1.997876961797364e-003	-1.333905e-002	-5.505475e-001	2.429998e-002
1.998876961797364e-003	-7.056199e-003	-5.276742e-001	1.913631e-002
1.999876961797364e-003	-7.730718e-004	-4.991890e-001	1.513024e-002
2.000876961797364e-003	5.510086e-003	-4.586389e-001	1.381906e-002
2.001876961797365e-003	1.179303e-002	-3.953957e-001	1.683525e-002
2.002876961797365e-003	1.807550e-002	-2.990645e-001	2.374997e-002
2.003876961797365e-003	2.435726e-002	-1.641996e-001	3.231300e-002
2.004876961797365e-003	3.063806e-002	1.049894e-002	4.109366e-002
2.005876961797365e-003	3.691765e-002	2.230509e-001	4.968424e-002
2.006876961797365e-003	4.319578e-002	4.450525e-001	5.517552e-002
2.007462952143550e-003	4.687393e-002	5.391904e-001	5.302653e-002
2.007850302539651e-003	4.930491e-002	5.635049e-001	5.038045e-002
2.008296954825843e-003	5.210770e-002	5.694833e-001	5.120134e-002
2.008656888514266e-003	5.436602e-002	5.728869e-001	5.365710e-002
2.009046912462508e-003	5.681282e-002	5.765601e-001	5.603433e-002
2.009529130653313e-003	5.983753e-002	5.809580e-001	5.903349e-002
2.012428256495665e-003	7.802469e-002	6.055494e-001	7.718982e-002
2.015327382338016e-003	9.617096e-002	6.293979e-001	9.531030e-002
2.018226508180367e-003	1.142763e-001	6.525036e-001	1.133949e-001
2.021125634022718e-003	1.323408e-001	6.748663e-001	1.314437e-001
2.024024759865070e-003	1.503644e-001	6.964860e-001	1.494566e-001
2.026923885707421e-003	1.683471e-001	7.173629e-001	1.674337e-001
2.029823011549773e-003	1.862888e-001	7.374969e-001	1.853749e-001
2.039965868692631e-003	2.490807e-001	8.070072e-001	2.481624e-001
2.050108725835490e-003	3.102596e-001	8.741041e-001	3.093408e-001
2.060251582978348e-003	3.698256e-001	9.387876e-001	3.689101e-001
2.070394440121207e-003	4.277788e-001	1.001058e+000	4.268703e-001
2.080537297264065e-003	4.841191e-001	1.060914e+000	4.832213e-001
2.090680154406924e-003	5.388464e-001	1.118358e+000	5.379632e-001
2.100823011549782e-003	5.919609e-001	1.173387e+000	5.910960e-001
2.117394440121213e-003	6.741466e-001	1.258747e+000	6.733139e-001
2.133965868692643e-003	7.473365e-001	1.334690e+000	7.465391e-001
