time	V(vin)	V(voutoa)	V(voutr)
2.178288895757004e-003	1.080237e+000	1.078503e+000	1.010139e-002
2.188054520757004e-003	1.110249e+000	1.108520e+000	1.578271e-002
2.197820145757004e-003	1.136082e+000	1.134363e+000	2.246127e-002
2.207585770757004e-003	1.157639e+000	1.155934e+000	2.943426e-002
2.217351395757003e-003	1.174840e+000	1.173152e+000	3.593543e-002
2.227117020757003e-003	1.187618e+000	1.185954e+000	4.128726e-002
2.236882645757003e-003	1.195927e+000	1.194290e+000	4.499196e-002
2.246648270757003e-003	1.199734e+000	1.198129e+000	4.675210e-002
2.256413895757003e-003	1.199026e+000	1.197456e+000	4.642406e-002
2.266179520757002e-003	1.193805e+000	1.192275e+000	4.402249e-002
2.275945145757002e-003	1.184090e+000	1.182604e+000	3.974229e-002
2.285710770757002e-003	1.169919e+000	1.168481e+000	3.396709e-002
2.295476395757002e-003	1.151345e+000	1.149958e+000	2.725486e-002
2.305242020757002e-003	1.128438e+000	1.127105e+000	2.029912e-002
2.315007645757001e-003	1.101283e+000	1.100008e+000	1.386643e-002
2.324773270757001e-003	1.069983e+000	1.068768e+000	8.604243e-003
2.334538895757001e-003	1.034656e+000	1.033505e+000	4.824731e-003
2.344304520757001e-003	9.954346e-001	9.943495e-001	2.448152e-003
2.354070145757000e-003	9.524668e-001	9.514497e-001	1.132022e-003
2.363835770757000e-003	9.059142e-001	9.049671e-001	4.816065e-004
2.373601395757000e-003	8.559519e-001	8.550763e-001	1.902550e-004
2.383367020757000e-003	8.027679e-001	8.019653e-001	7.030930e-005
2.393132645757000e-003	7.465626e-001	7.458338e-001	2.444832e-005
2.402898270756999e-003	6.875473e-001	6.868930e-001	8.037418e-006
2.412663895756999e-003	6.259443e-001	6.253648e-001	2.508433e-006
2.432195145756999e-003	4.959112e-001	4.954797e-001	2.130309e-007
2.451726395756998e-003	3.584192e-001	3.581294e-001	1.551810e-008
2.471257645756998e-003	2.155362e-001	2.153694e-001	9.901971e-010
2.481023270756998e-003	1.427424e-001	1.426121e-001	2.307126e-010
2.490788895756998e-003	6.941132e-002	6.889112e-002	4.508134e-011
2.500554520756997e-003	-4.180979e-003	1.621454e-002	1.204654e-011
2.510320145756997e-003	-7.775754e-002	1.275505e-002	2.755565e-011
